Circuit,Conflicts,Decisions,CPU Time,Result
des,38,9039,0.314639,UNKNOWN
des,237,253914,0.069446,SATISFIABLE
i10,13,2974,0.232678,UNKNOWN
i10,187,127939,0.035955,SATISFIABLE
i8,2,1140,0.1157,UNKNOWN
i8,96,23353,0.020314,SATISFIABLE
majority,0,17,0.002074,UNKNOWN
majority,2,32,0,SATISFIABLE
t481,10,798,0.072671,UNKNOWN
t481,79,10243,1.82777,SATISFIABLE
too_large,3,326,0.042144,UNKNOWN
too_large,31,2575,0.000611,SATISFIABLE
