Circuit,Conflicts,Decisions,CPU Time,Result
des,595,190821,0.720628,UNKNOWN
des,339,686837,0.170436,SATISFIABLE
i10,96,27601,0.308242,UNKNOWN
i10,331,374446,0.087817,SATISFIABLE
i8,62,5546,0.173546,UNKNOWN
i8,152,47505,0.050869,SATISFIABLE
majority,0,18,0.002792,UNKNOWN
majority,6,61,0.000904,SATISFIABLE
t481,161,6723,0.137598,UNKNOWN
t481,117,16906,146.229,SATISFIABLE
too_large,8,1023,0.020715,UNKNOWN
too_large,78,2988,0.007878,SATISFIABLE
