Circuit,Conflicts,Decisions,CPU Time,Result
des,366447,27520486,142.352,UNKNOWN
des,759,1077570,0.994711,SATISFIABLE
i10,41475,3210148,7.25724,UNKNOWN
i10,513,576499,0.415168,SATISFIABLE
i8,9146,331530,1.15984,UNKNOWN
i8,230,64958,0.390114,SATISFIABLE
majority,0,49,0.001327,UNKNOWN
majority,3,71,0.000675,SATISFIABLE
t481,5492,267091,0.578653,UNKNOWN
t481,267,28103,0.480409,SATISFIABLE
too_large,1213,43566,0.107539,UNKNOWN
too_large,140,8693,0.143122,SATISFIABLE
